Module,Step,Step Text,Warning,Confirmation,Yes Confirmation Step Re-Direction,No Confirmation Step Re-Direction,Additional Information,First Step?,MANUAL
00_App_Training,01_Step,,,,,,,,
01_DIS_Disassembling Powder Feeder,01_DIS_Machine_Selection,,,,,,,,
,02_DIS_Loading_Powder_Feeder_ Guides,,,,,,,,
,03_DIS_Disassembling,,,,,,,,
,04_DIS_Check_Pressure_Gauge,Did you set the gauge pressure to zero?,,Did you set the pressure gauge to zero?,01.05,01.04,"""Why zero pressure?"" If pressure is greater than zero; the cap will spring out during disassembly and can cause catastrophic injuries.",Yes,110
,05_DIS_Disconnecting_Gas_Hose,Check the pressure gauge for zero pressure. Disconnect the gas hose.,Pressure must be zero.,,,,"""What's the gas hose connected to?"" The gas hose is connected to ... to pressurize the powder feeder and make particles reach the desired speed.",,110
,06_DIS_Remove_Bolts,Loosen and remove the bolts.,Pressure must be zero.,,,,,,111
,07_DIS_Fill_Port,Unscrew and open the fill port located on the top of the powder feeder.,,,,,,,111
,08_DIS_Pry_Lid,Carefully pry open the lid using a screwdriver and disassemble the lid.,Be gentle with the screwdriver,,,,"""What happens if I'm not careful with the screwdriver?"" There is an O ring under the lid; which might be damaged by the screwdriver; resulting in a leakage.",,111
,09_DIS_N95_Mask,Before you interact with the powder; make sure to put on a N95 mask.,,,,,"""What happens if I interact with the powder without a mask?""",,1
,10_DIS_HEPA_Vacuum,Use Explosion Proof HEPA vacuum to clean the leftover powder.,,,,,“Do I need to do this if I’m using the same powder type?” It depends on the material type. If its aluminum; for example; you must clean the remaining powder after 2 days since AL in reaction with the air.,,1
,11_DIS_Upper_Wavy_Spring,Gently remove the upper wave spring.,The wavy spring's orientation matters,,,,,,111
,12_DIS_Drum,Remove the drum while wiggling it side to side.,,,,,,,111
,13_DIS_Metering_Block,Remove the metering block while wiggling it side to side.,,,,,,,111
,14_DIS_Lower_Wavy_Spring,Gently remove the lower wave spring.,The wavy spring's orientation matters,,,,"""Why is the orientation important?"" There is a plastic ring below the O ring that might get damaged if the ring is placed upside down; due to the engagement of metal with plastic.",,111
,15_DIS_Plunger_Tip_Rod,Make sure the plunger tip has spring to it. Remove plunger tip and plastic rod.,The plunger tip must have a spring,,,,"""What's the purpose of the spring?"" The spring is used to make sure that the plunger tip does not press the powder. Spray quality depends significantly upon the spring.",,1
02_CLE_Cleaning Powder Feeder,01_CLE_Machine_Selection,,,,,,,,
,02_CLE_Loading_Powder_Feeder_Guides,,,,,,,,
,03_CLE_Cleaning,,,,,,,,
,04_CLE_Did_You_Disassemble,Did you disassemble the powder feeder?,,Did you disassemble the powder feeder?,02.05,01.04,,Yes,
,05_CLE_Changing_Powder_Type,Every time the powder material is changed; clean the powder feeder before loading it with a new material.,,,,,,,1
,06_CLE_Safety,For the following steps; dust collector and N95 mask are required.,,,,,,,1
,07_CLE_N95_Mask,Before you interact with the powder; make sure to put on an N95 mask.,,,,,"""What happens if I interact with the powder without a mask?""",,1
,08_CLE_Explosion_Proof_HEPPA,Turn on the dust collector and vacuum any excess powder using the Explosion Proof HEPA vacuum.,,,,,There should be 1-2 tablespoons of powder needing cleaned. ,,1
,09_CLE_Feeder_Ring _Drum_Block,Use ethanol to wipe clean the two wave springs; fill port; the drum; the metering block; and the interior of Powder Feeder.,,,,,"""How often should I clean the parts?"" Cleaning steps are required by the operator each time they need to use a different powder. If using the same powder; cleaning is required after 2-4 hours of spray time. ",,112
,10_CLE_Plunger_Tip,Use ethanol to wipe clean the two holes on the plunger tip.,Leave NO powder inside the holes,,,,"""What happens if some powder remains on the holes?"" If the operator forgets to properly clean the two holes; the whole spray could be wasted; depending on the material.",,1
,11_CLE_Plastic_Rod,Use ethanol and a pipe cleaner to clean the plastic rod (lid side).,,,,,,,1
,12_CLE_Bolts_Nuts_Lid,Use ethanol to wipe the remaining components of the lid including bolts and nuts.,,,,,,,112
